,Name,City,Cuisines,Average Cost,Aggregate Rating,Original Name
7629,d9hte_7629,Grand Rapids,"Desserts, Pizza, Italian, Cafe, American",25,2.9,Chatkaara Point
6157,yCR69_6157,Duluth,"Fast Food, Desserts, Seafood",25,0.0,Massi's Kitchen
8386,itShB_8386,Montgomery,"Tea, Indian, Desserts",25,3.3,Moon Bite
7590,5lztM_7590,Columbus,"Chinese, American, Cafe, Fast Food",25,0.0,Himalya Chinese
685,dkt9j_685,Cleveland,"Pizza, French, Fast Food, Chinese, Seafood",25,3.4,Makhan Fish and Chicken Corner
5075,kQ18q_5075,Punta Gorda,"Tea, Mediterranean, Fast Food",25,0.0,Mathura Lassi Wala
2825,5diPf_2825,Orlando,"Cafe, BBQ, Seafood",25,0.0,Milan Food
7299,raweX_7299,Iron Mountain,"Tea, Cafe, Pizza",25,4.3,Tamra - Shangri-La's - Eros Hotel
6743,WK3U8_6743,Phoenix,"Cafe, Chinese, Seafood, Fast Food",25,3.3,Subway
2815,lIzan_2815,Kansas City,"Bakery, Desserts, Fast Food",25,3.1,New Zaika
819,WZ6Gy_819,Los Angeles,"Desserts, Bakery, Fast Food, American, Seafood",25,4.3,Palmshore
4344,dVXp2_4344,Pensacola,"Cafe, BBQ, Italian",25,3.5,Eggspectation - Jaypee Siddharth
279,FQuX6_279,Hattiesburg,"Cafe, Bakery, Pizza, Desserts",25,3.7,Ichiban Hibachi Steakhouse & Sushi Bar
5044,SVvj1_5044,Orlando,"Chinese, Cafe, Seafood",25,2.9,Spice Hut
9111,aNKTo_9111,Rhinelander,"Pizza, Bakery, BBQ, Seafood",25,0.0,Platters
7266,xBpJe_7266,Branson,"Bakery, Desserts, Fast Food",25,3.5,Aman-Deep Pure Veg
4355,VQykJ_4355,Gainesville,"French, BBQ, Fast Food, Chinese, Seafood",25,3.2,"34, Chowringhee Lane"
6748,0egRJ_6748,Boise,"Pizza, Italian, BBQ, Fast Food, Mediterranean",25,3.5,Domino's Pizza
9002,7W8uR_9002,Austin,"Chinese, Seafood, Desserts, Fast Food",25,0.0,N E Great Foods
3020,ubG26_3020,Albany,"Tea, Chinese, BBQ, Seafood",25,3.6,Cafe Coffee Day The Square
14,8CSrr_14,Duluth,"Desserts, Tea, French, Fast Food, Cafe",25,4.3,Sodam Korean Restaurant
3457,JRF4z_3457,Kansas City,"Desserts, Tea, Italian, Mexican, Cafe",25,3.6,Haldiram's
9387,bBfs9_9387,Oklahoma City,"Tea, Indian, BBQ, Seafood",25,4.5,The Breakfast Club
1440,hWPHW_1440,Tallahassee,"Desserts, Italian, Mexican, Cafe, Seafood",25,4.1,Sibang Bakery
5462,yUT6f_5462,Midland,"Chinese, BBQ, Fast Food",25,3.5,Cocoberry
1094,7ydGG_1094,Fresno,"French, Pizza, Cafe, Italian",25,2.9,Aggarwal Sweets Centre
8751,u0v1w_8751,Palm Springs,"Fast Food, Pizza, American, Seafood",25,2.3,Night Food Xprs
5931,GKsBx_5931,Chattanooga,"Tea, Cafe, American, Indian",25,3.9,Pizza Hut Delivery
8245,fzEa1_8245,Greer,"Seafood, Pizza, Mediterranean, Fast Food",25,3.3,Sparrows At Home Bakery & Cafe
2411,NyJhN_2411,Juneau,"Tea, Pizza, BBQ, Fast Food, Mediterranean",25,4.2,BarBQ
243,5e0jq_243,Lansing,"BBQ, Mediterranean, Desserts, Italian",25,4.3,Front Street Brewery
8827,ViRZG_8827,Branson,"Tea, Cafe, Indian",25,0.0,Hasty Tasty Fast Food
4810,Xt2M0_4810,San Angelo,"Tea, BBQ, Fast Food",25,3.5,The Nest
1336,AWx3S_1336,Longview,"Desserts, Tea, Pizza, Italian, Seafood",25,3.0,Apni Rasoi
6356,BHbNx_6356,Victoria,"Cafe, BBQ, Desserts, Seafood",25,3.3,Shree Rathnam
4439,KmNaF_4439,Eau Claire,"Tea, Cafe, BBQ, Fast Food",25,2.7,Vatika
8104,6a9AT_8104,Valdosta,"Tea, Bakery, Chinese, American, Seafood",25,2.6,Anands
9255,1qN1A_9255,Gulfport,"Tea, Cafe, Seafood, Fast Food",25,3.5,Singh's Delight Restaurant
1163,bcKBQ_1163,Buffalo,"Bakery, BBQ, Desserts, Seafood",25,4.3,Punjab Grill
104,5GlZ4_104,Wichita Falls,"Bakery, BBQ",25,4.5,Mama's Boy Restaurant
2198,w6oxh_2198,Santa Rosa,"Pizza, BBQ, Fast Food, Cafe, American",25,0.0,Adventure Food
7011,mnvga_7011,Toledo,"Fast Food, Pizza, Italian",25,3.9,Crazy Kitchen Lounge & Terrace
8790,g1Rab_8790,Fort Myers,"Desserts, Tea, French, Fast Food, American",25,0.0,Delicious Treasure
4454,pJ0uK_4454,Omaha,"Chinese, Pizza, BBQ",25,3.5,Sant Sweets
2240,uHEC8_2240,Birmingham,"Desserts, Italian, Bakery, Fast Food, Indian",25,3.2,Urban Dhaba
8776,OgwJP_8776,Valdosta,"Desserts, Tea, Pizza, French, Mexican, Bakery",25,0.0,Ghar Ka Khana
2300,DvXGS_2300,Medford,"Pizza, BBQ, Seafood",25,4.3,Exotica
8046,JV8NV_8046,Sun Valley,"Desserts, Tea, French, BBQ, Cafe",25,3.4,Punjabi By Nature Quickie
6572,qJPi2_6572,Augusta,"Cafe, Indian, BBQ",25,2.6,Mama's Nu Khana Khazana
8036,i9czk_8036,Hyannis,"Desserts, Tea, Pizza, Chinese, American, Seafood",25,3.2,Thirsty Scholar Cafe
5815,q6VKL_5815,Grand Forks,"Cafe, Bakery, Mediterranean",25,0.0,D-Food
8079,0y59E_8079,Plattsburgh,"Tea, Cafe, BBQ, Fast Food",25,3.4,Cafe Pipa
1990,fC669_1990,Laredo,"French, Indian, Cafe, Fast Food",25,3.6,Dimsum Democracy
5602,7Leqh_5602,Williston,"Pizza, Indian, Mediterranean, BBQ",25,0.0,Punjabi Delight
9405,FoZTh_9405,Brunswick,"Pizza, Bakery, Fast Food",25,4.0,Almost Famous Burgers
6532,3kiXr_6532,Cedar Rapids,"American, Mediterranean, BBQ, Seafood",25,3.4,McDonald's
5863,55Nnu_5863,Salisbury,"Tea, Cafe, Pizza, Italian, Chinese, Seafood",25,3.4,Hashtag Foods
1573,mCkRJ_1573,Wilmington,"Desserts, Tea, Pizza, Italian, French",25,3.7,Dunkin' Donuts
4048,M3LHK_4048,Lake Charles,"BBQ, Fast Food",25,3.1,Kocktails & Kurries
3606,RBo5k_3606,West Palm Beach,"Pizza, BBQ, Fast Food, Indian, Mediterranean, Seafood",25,3.0,Amul Ice-Cream Parlour
8635,OM5sP_8635,Prescott,"Mexican, Pizza, Desserts",25,3.2,JSB Evergreen Snack & Sweets
4553,gxmn2_4553,Greenville,"Tea, French, BBQ",25,4.0,Classic
2080,QMcRX_2080,Buffalo,"Tea, Chinese, Desserts",25,3.6,Shama Chicken Corner
1380,mkgUc_1380,Ketchikan,"Tea, Pizza, Fast Food, Cafe, Indian, Mediterranean",25,2.8,Yo Yo China Town
8902,Xghx0_8902,Charlotte,"Tea, French, Indian, Seafood",25,0.0,Dial a Cake
7865,hVDY4_7865,Baton Rouge,"Desserts, Pizza, French, Fast Food, American, Seafood",25,4.1,Phonebooth Caf愆
4146,laDFS_4146,Grand Rapids,"French, Pizza, Cafe, BBQ",25,0.0,Mohan Chaat Corner
4707,Txn3R_4707,Memphis,"Desserts, Pizza, Italian, Fast Food, Cafe, Indian",25,2.7,Pahariya Chicken
5929,ZD6hE_5929,Savannah,"Tea, Bakery, Cafe, American, Seafood",25,3.5,Hwealthcafe
6282,bvh5q_6282,Presque Isle,"Tea, Fast Food",25,3.0,The Taste
9464,m3HyG_9464,Rochester,"Cafe, Fast Food",25,4.5,Marble
1054,qvCjH_1054,Shreveport,"Desserts, BBQ, Fast Food, Chinese, Mediterranean",25,2.9,Punjabi Culture
3640,qMzLi_3640,Pellston,"Desserts, Tea, BBQ, American, Mediterranean, Seafood",25,0.0,The Square Meal
7887,rcpmw_7887,Sun Valley,"BBQ, Indian, American, Desserts",25,3.3,Goli Vada Pav No. 1
7131,TFoIz_7131,Baltimore,"Cafe, Desserts, Fast Food",25,0.0,Aggarwal Bikaner Sweets Corner
6541,XHqdi_6541,Punta Gorda,"Tea, American, BBQ",25,2.5,Ada'e Handi
1041,WsFQb_1041,Great Falls,"Cafe, BBQ, Seafood",25,0.0,Magical Momos
5555,53lbq_5555,Daytona Beach,"Tea, Pizza, Seafood",26,3.0,Hyderabad Spl. Chicken Biryani Point
7599,LPFqn_7599,Atlanta,"Bakery, Mexican, Indian, Seafood",26,0.0,Sahib Jhatka Chicken Shop
5702,K7kVr_5702,Milwaukee,"Tea, Cafe, Fast Food",26,0.0,Raju De Special Paneer Wale
4033,s4PIg_4033,Sault Ste. Marie,"French, Mexican, Bakery, Cafe",26,0.0,Kashmiri Hills Wazwan
2969,Z0wMU_2969,Latrobe,"Cafe, Mexican, Seafood",26,3.0,Narang's Bake 'n' Cake
8078,LoUMq_8078,Portland,"Cafe, Pizza, Desserts",26,3.2,Fortune Deli -  Fortune Inn Grazia
6884,VKxGX_6884,Appleton,"Cafe, Desserts, Italian",26,0.0,Yaadgaar
6887,AQwey_6887,Kalamazoo,"Bakery, BBQ, Seafood",26,3.3,Boheme Bar & Grill
9369,hjVNn_9369,Salina,"Desserts, Pizza, Bakery, Cafe, Indian, Mediterranean",26,3.9,The Elephant House
3032,avqhi_3032,Montgomery,"Desserts, Tea, French, Bakery, Seafood",26,3.8,Dunkin' Donuts
2179,ZBJoi_2179,Charleston,"Desserts, Cafe, Pizza, Fast Food, Chinese",26,3.7,The Living Room - The Westin Sohna Resort & Spa
1966,ke1YY_1966,Fort Dodge,"Tea, French, Bakery",26,2.4,Grill King Kabab & Curries
8211,cJShT_8211,Laredo,"Bakery, Pizza, Indian, BBQ",26,0.0,Foodicious
4264,pRHdS_4264,Hartford,"BBQ, Pizza, Indian, Desserts",26,0.0,Kashmiri Wazwan
7801,YyYnD_7801,Laredo,"French, BBQ, Seafood",26,0.0,Cafe Mom
9430,MjRgf_9430,Boston,"Desserts, Pizza, French, BBQ, Cafe",26,3.8,Punjab Restaurant
1857,JYJ1w_1857,Harlingen,"Cafe, Pizza, Desserts, Seafood",26,4.0,Barcelos
2646,qcZHD_2646,Eugene,"Cafe, Bakery, Desserts, Fast Food",26,2.9,Jugnu Gaming Zone and Cafe
8349,EZOK0_8349,Flagstaff,"Bakery, Indian, Desserts",26,0.0,Tea Nation
3536,7uAAz_3536,New York,"Tea, French, Cafe, Seafood",26,3.3,Green Chick Chop
2652,psfpq_2652,Austin,"Pizza, Italian, BBQ, Indian, Seafood",26,3.0,Tandoori Nights
264,BY65l_264,Wilmington,"Desserts, French, Bakery, Fast Food, Seafood",26,4.0,Bandit Burrito
2571,UHnlp_2571,Cody,"Tea, Mexican, BBQ, Fast Food, Seafood",26,4.0,Chateau
1866,AkCLD_1866,Omaha,"Desserts, Cafe, Pizza, Mexican, Bakery, Chinese",26,4.2,Molecule Air Bar
3518,KHHb5_3518,Durango,"Fast Food, Seafood, Pizza, Italian",26,4.1,Asian Haus
9467,q8i9S_9467,Walla Walla,"Cafe, Bakery",26,4.4,Geet Indian Restaurant
2018,jPSzM_2018,Houston,"Chinese, Desserts, Bakery, Cafe, Mediterranean",26,2.2,Chawla's宊
7233,v0idf_7233,Sitka,"Cafe, Pizza, Bakery",26,3.4,Baskin Robbins
7124,wjGMo_7124,Gustavus,"Desserts, BBQ, Bakery, Fast Food, Chinese",26,2.9,Titu Chaat Corner
4204,c51TT_4204,St. Louis,"Tea, Cafe",26,3.4,Tingling Pepper
2471,fHGRD_2471,Fayetteville,"Desserts, Cafe, Pizza, Fast Food, Chinese",26,3.5,Smoke N Oven
2740,PrOvL_2740,Lexington,"Tea, Cafe, Bakery",26,3.5,SGF - Spice Grill Flame
1798,f9wZl_1798,Lake Charles,"Cafe, Pizza, Mediterranean",26,0.0,Luncheon Box
2903,REMju_2903,Redding,"Tea, Cafe, Bakery, BBQ",26,3.1,Milk n More
1935,6alpY_1935,Charlottesville,"Desserts, Tea, Italian, BBQ, Fast Food",26,3.3,Dawat-e-Ishq
2313,PcydN_2313,Yakima,"BBQ, Mediterranean, Fast Food",26,4.1,United Kitchens of India
2850,3dnMS_2850,Scottsbluff,"Tea, Bakery",26,3.0,McDonald's
5484,PhhV0_5484,Aguadilla,"Cafe, American, Desserts",26,3.2,Cafe Grub
8296,82maI_8296,Monterey,"BBQ, Fast Food",26,0.0,Standard Sweets
8039,kXEDi_8039,Escanaba,"Desserts, Mexican, BBQ, Bakery, Seafood",26,3.5,221 B Baker Street
2821,J62va_2821,South Bend,"Desserts, French, BBQ, Bakery, Seafood",26,3.5,It潴籹 Sinful
3767,teF9G_3767,Scranton,"Bakery, Pizza, Desserts, Fast Food",26,4.1,Artusi Ristorante e Bar
2814,beBw8_2814,Boise,"Cafe, Pizza, French, Chinese, Seafood",26,3.2,Momo Point
9514,p6pvg_9514,Sitka,"Desserts, Seafood",26,4.9,Ministry of Crab
7719,HheK1_7719,Punta Gorda,"Tea, French, Bakery, Mediterranean",26,3.5,Majeed's
3420,Y78ox_3420,Stockton,"Seafood, Desserts, Italian",26,3.5,Muffins
7925,9xGrD_7925,Williston,"Tea, Cafe, Mediterranean, Fast Food",26,0.0,Brick Station
3768,hCNDW_3768,Cedar Rapids,"Cafe, Bakery, Pizza, Desserts",26,4.3,Baris
2353,h4CDV_2353,Alamosa,"Tea, Pizza, American, Fast Food",26,4.3,Cafe LazyMojo
6049,zykzU_6049,Harlingen,"Bakery, Fast Food, Chinese, American, Seafood",26,2.8,The Indian Grill Restaurant
6262,GHRPm_6262,San Luis Obispo,"Cafe, Bakery, Mediterranean, Italian",26,2.7,Pandey Chinese Hut
8949,kEal5_8949,Fayetteville,"Desserts, BBQ, Fast Food, Mediterranean, Seafood",26,0.0,Beyond Food
4444,qu9sN_4444,Mason City,"French, Bakery, BBQ, Cafe, Indian, Seafood",26,3.7,Chowki
507,toQXp_507,Lawton,"Cafe, Mexican, Seafood",26,4.9,Mazzaro's Italian Market
912,BEgaX_912,Omaha,"Mediterranean, Desserts, Fast Food",26,0.0,Little Cafe
1533,DniOv_1533,Madison,"Cafe, Seafood",26,2.8,Chini Bowl
1545,Dd2l0_1545,St. Petersburg,"Tea, Pizza, French, Cafe, Mediterranean, Seafood",26,3.6,Doughlicious
9205,f127V_9205,Stockton,"Desserts, Tea, Italian, BBQ, Fast Food, Chinese",26,3.7,Wok On Fire
4997,finrD_4997,Des Moines,"French, Mexican, Pizza, Seafood",26,3.8,CJ's Fresh
9199,yKJmK_9199,Wrangell,"Pizza, American, Indian, Desserts",26,3.9,World Platter
852,kLbvE_852,Albuquerque,"Desserts, Cafe, Italian, Bakery, Chinese, Seafood",26,4.0,Punjab Grill
9008,nLWw8_9008,Bishop,"Chinese, Pizza, Seafood",26,0.0,Yolkers
849,JWdNT_849,Salisbury,"Desserts, Mexican, BBQ, Fast Food, Cafe",26,4.2,Kalsang Friends Corner
6007,kJEOf_6007,Pago Pago,"Desserts, Tea, Mexican, Bakery, Fast Food, Indian",26,2.9,Chowmein Hut
5047,hd2Fg_5047,Ithaca,"Seafood, Bakery, Cafe, Italian",26,2.9,Traffic Jaam
5056,4l6Rq_5056,Pasco,"Chinese, Pizza, BBQ",26,0.0,Burger Wala
793,kmRE8_793,Longview,"Cafe, Bakery",26,4.5,Barbeque Nation
536,heSc8_536,Louisville,"Italian, Mexican, Fast Food, Cafe, Seafood",26,3.8,Steel Magnolias
5078,EKqEM_5078,Lihue,"Cafe, Mexican, BBQ, Seafood",26,0.0,Mughal-E-Zaika
9187,Twzgy_9187,Lewisburg,"Tea, Mexican, BBQ, Cafe, Seafood",26,3.3,OMG Cafe
1608,DGV0A_1608,Christiansted,"BBQ, Desserts",26,3.4,Patiala
1613,GuQLx_1613,Peoria,"American, BBQ, Fast Food",26,2.8,Rupa Tikki Wala And Caterers
723,2MeGq_723,Bismarck,"Pizza, Italian, Bakery, BBQ, Fast Food, Indian",26,3.3,Great Sagar Restaurant
5135,543yQ_5135,Cincinnati,"Tea, Indian, Bakery, Cafe, American",26,3.3,Go Foodie
8572,qYqSn_8572,Sitka,"Desserts, Pizza, Fast Food, Cafe, Mediterranean",26,3.6,Chaayos
8491,RENFF_8491,Norfolk,"Fast Food, Tea, Seafood",26,2.5,Lajawab Family Restaurant
8926,c1gtc_8926,Saipan,"Desserts, Pizza, Mexican, BBQ, Fast Food",26,0.0,Chaiwaalas
8920,rRKXA_8920,Adak Island,"Tea, Cafe, Mexican, Fast Food",26,0.0,WOW Zaika
4600,Ae5AG_4600,Corpus Christi,"Tea, Pizza, Mediterranean",26,3.5,Bakeology
8732,VmMVG_8732,Milwaukee,"Tea, Cafe, Bakery, Fast Food",26,3.4,Nirmala's
4711,CTaN8_4711,Great Falls,"Tea, Cafe, Desserts",26,2.8,Punjabi Joint
4716,jpwOU_4716,Gulfport,"Pizza, Fast Food",26,2.9,Swad Fast Food
8665,qsEEB_8665,State College,"Seafood, Pizza, Fast Food",26,0.0,Snacks Parties
6485,nzjEP_6485,Laramie,"Tea, Mediterranean, Desserts",26,2.9,Abdul Muradabadi Chicken
6487,ZhHf8_6487,Pasco,"Tea, American, Indian, Fast Food",26,3.2,Colonel's Kababz
4574,LjFS5_4574,Cedar City,"Seafood, Indian, BBQ, Italian",26,3.3,New Frontier Hotel
4550,06ON9_4550,Fort Leonard Wood,"Tea, Pizza, French, Bakery, Seafood",26,3.8,The Barbeque Company
6358,KDZbH_6358,Trenton,"Desserts, Pizza, French, Fast Food, Chinese",26,3.3,Tandoori Tadka
4824,iBz8l_4824,West Yellowstone,"Cafe, Chinese, Bakery, Mediterranean",26,3.2,Chinese Hut
1122,vdskR_1122,Green Bay,"Fast Food, Pizza, Indian, Seafood",26,2.5,9 Mars Lounge
5917,zdhf6_5917,Vernal,"French, Bakery, Desserts",26,3.4,McDonald's
8630,zzcV7_8630,Evansville,"Pizza, Mexican, Bakery, Cafe, Mediterranean, Seafood",26,3.4,Defence Bakery
1427,3dJfo_1427,Jacksonville,"French, Bakery, American, Fast Food",26,3.8,Oh! Fudge
1447,AyFNY_1447,Akron,"Tea, Cafe, Mediterranean, Seafood",26,3.3,Barista
8616,3pdl2_8616,San Angelo,"Desserts, Tea, Pizza, Fast Food, Chinese",26,4.0,Mr. Brown
9252,9IKVP_9252,Wichita,"Cafe, BBQ, Mediterranean, Desserts",26,3.5,I:ba Cafe & Restaurant
1072,sAFSE_1072,Saginaw,"Seafood, Pizza, Fast Food",26,3.0,Shree Bikaner Misthan Bhandar
1057,LOiy3_1057,White Plains,"Pizza, Mediterranean, BBQ",26,0.0,Aravalli Owls
476,H3g6X_476,Fort Lauderdale,"Tea, Cafe, Fast Food",26,3.7,Archie's Waeside
8883,T6djf_8883,Hagerstown,"Tea, Cafe, Mexican, Bakery",26,3.4,Rollmaal
5317,iANRA_5317,Little Rock,"Fast Food, Cafe, Seafood",26,3.2,Desi Jugaad
1490,iDwE0_1490,Arcata,"Tea, Pizza, BBQ, Italian",26,3.7,The Ark
333,9enRc_333,Miami,"Tea, Desserts",26,4.2,Papouli's Mediterranean Cafe & Market
9314,rjXYe_9314,Santa Maria,"Tea, Pizza, Italian, French, Cafe, Seafood",26,4.0,PappaRich
9148,xevP5_9148,Colorado Springs,"Tea, Chinese, Bakery, Italian",26,3.7,#Dilliwaala6
8455,ZqJhW_8455,Rockford,"Bakery, Pizza, BBQ, Desserts",26,3.8,Subway
5458,TkJtJ_5458,Salina,"BBQ, Fast Food, Cafe, Mediterranean, Seafood",26,3.2,Nut Khut Chaats & Snacks
8453,q3Rog_8453,Pellston,"Tea, Bakery, Pizza, Fast Food",26,3.7,Punjabi By Nature
6070,1BX4e_6070,Denver,"Tea, Fast Food, Cafe, Mediterranean, Seafood",26,2.9,Radhika Sweets
5889,qqw8h_5889,Baton Rouge,"Tea, Pizza, Mediterranean, Fast Food",26,3.8,Sandwich King
1111,fyE16_1111,Traverse City,"Chinese, Bakery, Desserts, Seafood",27,0.0,Tasty Bites
803,G68l1_803,Missoula,"Tea, Bakery, Fast Food, Chinese, Indian, Seafood",27,4.5,Burgrill
7515,qzCkm_7515,West Yellowstone,"Cafe, Chinese, Pizza, Mediterranean",27,3.6,Woks - The Lalit New Delhi
7418,7fin7_7418,Peoria,"Desserts, Tea, Pizza, Indian, Seafood",27,0.0,Shree Raja Ram
6330,nT9hJ_6330,Champaign,"Bakery, American, Mediterranean, Fast Food",27,0.0,Kanuchawala
1095,fF5Uf_1095,Salina,"Desserts, Cafe, Mexican, BBQ, Chinese",27,3.0,Bawarchi
3699,Modzu_3699,Fayetteville,"French, Bakery, Cafe, BBQ",27,4.2,Noshi - Yum Asian Delivery
7900,pPiRp_7900,Mason City,"French, Pizza, Cafe, Seafood",27,3.1,Pizza Yum
8228,H5OTA_8228,Albuquerque,"Tea, BBQ",27,3.2,Alley's Urbane Cafe
3711,WC5oK_3711,Concord,"Desserts, Tea, Mexican, Fast Food, Seafood",27,2.9,Angels in my Kitchen
7688,OHRXA_7688,San Juan,"Cafe, Bakery",27,2.8,Mandrain
3094,nFCQk_3094,Clarksburg,"Tea, Cafe, Desserts",27,4.1,Ardor 2.1
7722,fLFZc_7722,Roswell,"Bakery, Pizza, Indian, Italian",27,3.6,Nanking
9450,2r0mg_9450,Colorado Springs,"French, Bakery, Seafood",27,4.0,Nobu - One&Only
6850,Rs6sH_6850,Atlantic City,"Cafe, Pizza, BBQ, Seafood",27,4.1,Tossin Pizza
1141,eZm9o_1141,Atlanta,"Desserts, Pizza, Mexican, BBQ, Fast Food",27,4.5,Baba Au Rhum
8521,IeSUs_8521,Cedar Rapids,"Tea, Indian, Desserts",27,3.6,Captain Curry
4028,W7PPw_4028,Sacramento,"Desserts, Tea, BBQ, Fast Food, American",27,3.9,Kerala Hotel
4800,2pcIB_4800,Omaha,"Desserts, Tea, Italian, BBQ, Cafe",27,0.0,Murliwala Bakers
4179,aXvMd_4179,Vernal,"Pizza, Mexican, Bakery, Fast Food, Cafe",27,4.3,Qureshi Kabab Corner
2849,2us9h_2849,Dodge City,"Tea, Cafe, BBQ, Chinese, Indian",27,3.3,Mahalaxmi Mishthan Bhandar
8447,klf7Q_8447,Jackson,"Tea, Pizza, Indian, Desserts",27,3.9,McDonald's
773,wqt2D_773,Salt Lake City,"Pizza, Fast Food",27,4.1,Mamma Mia - Mayfair Lagoon
6168,BuR3Z_6168,Fort Dodge,"Desserts, Pizza, BBQ, American, Seafood",27,2.8,Amrit Family Rasoi
51,h0P6S_51,West Yellowstone,"Tea, BBQ",27,4.6,Zaz礴 Bistr砬 Tropical
7028,Fq0ix_7028,Scottsbluff,"Pizza, Mexican, BBQ, Bakery, Chinese",27,3.6,Uptown Cafe
63,IJgQ1_63,Erie,"Pizza, French, Bakery, Mediterranean, Seafood",27,4.4,Templo da Carne - Marcos Bassi
7095,0V8rn_7095,Wrangell,"Mexican, Bakery, Desserts, Seafood",27,2.8,Ceaser Fast Food Centre
8239,oFfnn_8239,Flagstaff,"Cafe, Desserts, Fast Food",27,2.5,Kabab And Tadka
4488,O3oPF_4488,Chattanooga,"Tea, Pizza, BBQ, Seafood",27,3.1,Vishal Restaurant
5313,t6dH9_5313,Mason City,"Desserts, Pizza, Italian, Fast Food, Seafood",27,2.4,Just Chinese
8417,4kPd5_8417,Mason City,"Cafe, Desserts, Seafood",27,3.2,The Fizz
2656,J1VHr_2656,Valparaiso,"Bakery, Fast Food, Cafe, Indian, Seafood",27,3.6,Fabulous Cake Bites
6585,YOjmT_6585,Richmond,"French, Pizza, Cafe, Seafood",27,2.7,Sagar Ratna
7805,2MZzr_7805,Victoria,"Pizza, BBQ",27,0.0,Catchup Green
2616,I4snS_2616,Islip,"Chinese, Mexican, Bakery, Pizza",27,0.0,Lazeez Restaurant
6814,tyxpB_6814,Santa Maria,"Desserts, Pizza, Fast Food, American, Mediterranean, Seafood",27,3.0,The Belly Giggles
6709,zIRAp_6709,Alamosa,"Tea, Italian, Bakery, Cafe, Seafood",27,4.4,Lights Camera Action - Air Bar
3570,pqFBF_3570,Cedar City,"Tea, Cafe, Pizza, Desserts",27,2.5,Chicago Pizza
7174,nJJC9_7174,Roswell,"Tea, BBQ, Mediterranean",27,0.0,Zaika-e-Dilli
3580,wjdU1_3580,Dodge City,"Tea, Chinese, Desserts",27,3.9,Keventers
9336,VjNNO_9336,Lewiston,"Bakery, Mexican, American, Seafood",27,4.1,The Crab Shack
587,YT3zw_587,Sarasota,"Desserts, BBQ, Fast Food, Chinese, Seafood",27,4.5,Barbeque Nation
8537,5U9Ej_8537,Decatur,"Cafe, BBQ, Chinese, American, Seafood",27,3.2,Yamu's Panchayat
2694,lZAq8_2694,Bend,"Indian, American, BBQ, Pizza",27,3.4,Chicken Vicken
7143,H5oan_7143,Gulfport,"French, BBQ, Chinese, Seafood",27,0.0,Chilli Tadka Food Villa
3480,8DNvF_3480,Gulfport,"Tea, Cafe, Pizza, Bakery",27,3.1,Naagar Foods
7866,mlHku_7866,Minneapolis,"Pizza, French, Fast Food, Mediterranean, Seafood",27,4.4,Tony's
1969,IvyKM_1969,Saipan,"Desserts, American, BBQ, Fast Food",27,3.1,Breakfast@60
9224,XUm88_9224,Rochester,"Pizza, Bakery, BBQ, Fast Food, Mediterranean",27,3.8,Wok On Fire
1020,kbKoM_1020,Muskegon,"Bakery, Fast Food, Cafe, Mediterranean, Seafood",27,2.7,Anupama Sweets & Family Restaurant
7876,qyVYX_7876,Manhattan,"French, BBQ, Desserts",27,2.7,Cake Palace
2512,4iyrK_2512,Phoenix,"Desserts, Seafood",27,3.7,Jungle The Restaurant
3056,yaSxK_3056,Green Bay,"Cafe, Pizza, Bakery, Fast Food",27,3.7,Nando's
3054,SUoEt_3054,Des Moines,"Chinese, Pizza, Bakery, Seafood",27,3.9,Mughlai Junction
5983,5Y0Yi_5983,Grand Forks,"Desserts, Seafood",27,2.6,KFC
2508,fpe1s_2508,Cleveland,"Cafe, Pizza, Bakery, Italian",27,3.5,Big Chicken
3343,IK77J_3343,Latrobe,"French, Desserts, Fast Food",27,2.8,Lakshadweep
1950,h1gyv_1950,Baton Rouge,"French, Pizza, Cafe",27,0.0,Chop Shop
2346,f3Eit_2346,Great Falls,"Chinese, Pizza, BBQ, Seafood",27,4.2,Taruveda Bistro
6263,3BxRM_6263,Laredo,"Tea, Italian, Bakery, BBQ, Cafe, Indian",27,2.7,Pandey Chinese Hut
2296,mrpbp_2296,Gulfport,"Cafe, Mediterranean, Seafood",27,4.3,Chung Fa
299,3PnKV_299,San Juan,"Tea, French, American, Cafe",27,4.4,Hoka-Hoka Japanese Steak & Sushi
5376,My9Yd_5376,Great Falls,"Tea, French, Fast Food, Cafe, Seafood",27,2.9,Mahara Hotel
8023,BhPlv_8023,Owensboro,"Desserts, Pizza, French, BBQ, Mediterranean, Seafood",27,0.0,Halal Pizza Star
380,AcNcL_380,Aguadilla,"Pizza, BBQ, Cafe, American, Seafood",27,4.2,Cactus Flower Cafe
9281,Sj3cY_9281,Yakutat,"Desserts, Tea, French, BBQ, Fast Food",27,3.9,OJJU
8116,YX8AO_8116,North Bend,"Cafe, BBQ",27,2.6,Sahi Darbar
7510,QMkiO_7510,Aguadilla,"Desserts, Mexican, BBQ, Cafe, Mediterranean",27,3.4,The Grill Room - The Lalit New Delhi
7608,AHdMk_7608,Bozeman,"French, Bakery, BBQ, Fast Food, Cafe, Indian",27,0.0,Today Pizza
2933,RFETJ_2933,Victoria,"Desserts, Bakery, BBQ, Indian, Mediterranean, Seafood",27,2.5,Sameer's Restaurant
3945,xeyXq_3945,Detroit,"BBQ, Pizza, Desserts",27,3.9,Cafe 6
